"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"origin_dataset_id","Integer","","Recommended","","Origin dataset Id","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0 :: 1260","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"experiment_id","Integer","","Conditional","scan_type == 'fMRI'","ID for the Experiment/settings/run","","",""
"inputs","String","1024","Recommended","","Description of the inputs for the process","","",""
"img03_id","Integer","","Recommended","","Corresponds to row_id in image03 data structure, mapping derivative to source record in image03","","",""
"file_source","String","1024","Required","","File name/location","","",""
"job_name","String","50","Recommended","","Identity of the run for pipeline processes","","",""
"proc_types","String","50","Recommended","","Type of Process","","",""
"metric_files","File","1024","Recommended","","An archive of the files produced by the pipeline for metrics values","","",""
"pipeline","String","100","Required","","Pipeline name","","",""
"pipeline_script","String","255","Required","","File from pipeline used to derive output","","",""
"pipeline_tools","String","255","Required","","Specific tools used in a pipeline (i.e., FreeSurfer, FSL, ANTs)","","",""
"pipeline_type","String","255","Required","","Description of pipeline platform (i.e., LONI, NITRC-CE, NiPype)","","",""
"pipeline_version","String","255","Required","","Version assigned to pipeline","","",""
"qc_fail_quest_reason","String","255","Required","","Provide a reason that the image was determined to fail a quality control check or if the quality control check determined that the image was questionable","","",""
"qc_outcome","String","25","Required","","Provide information on the conclusion of the quality control methods regarding the quality of the image","pass;fail;questionable; undetermined; obsolete","",""
"derived_files","File","","Conditional","isNull(manifest)","An archive of the files produced by the pipeline","","",""
"scan_type","String","50","Required","","Type of Scan","MR diffusion; fMRI; MR structural (MPRAGE); MR structural (T1); MR structural (PD); MR structural (FSPGR); MR structural (FISP); MR structural (T2); PET; ASL; microscopy; MR structural (PD, T2); MR structural (B0 map); MR structural (B1 map); single-shell DTI; multi-shell DTI; Field Map; X-Ray; static magnetic field B0; pCASL: ASL; MR: T2star; MR: FLAIR; Localizer scan; MR structural (FLASH); MR structural (MP2RAGE); MR structural (TSE); MR structural (T1, T2); 2D gradient echo; MR structural (MPnRAGE); Magnetic Resonance Spectroscopy(MRS); Neuromelanin MRI (NM-MRI); Functional Near Infrared Spectroscopy(fNIRS)","",""
"img03_id2","Integer","","Recommended","","Corresponds to row_id in image03 data structure, mapping derivative to source record in image03, number 2","","",""
"file_source2","String","1000","Recommended","","File name/location, 2","","",""
"session_det","String","250","Recommended","","session details","","",""
"image_history","String","1024","Recommended","","Image history,f.e. transformations steps and other modifications.","","",""
"manifest","Manifest","","Conditional","isNull(derived_files)","","","",""
"image_description","String","512","Recommended","","Image description, i.e. DTI, fMRI, Fast SPGR, phantom, EEG, dynamic PET","","",""
